area,areaName,movie_id,title,year,budget,budget_curr,total_amount,total_currency
XNDOM,International,tt1289401,Ghostbusters,2016,144000000,USD,100796935,USD
XR2,Russia and Commonwealth of Independent States,tt1289401,Ghostbusters,2016,144000000,USD,4870811,USD
XWW,World-wide,tt2381991,The Huntsman: Winter's War,2016,115000000,USD,164989338,USD
XNDOM,International,tt2381991,The Huntsman: Winter's War,2016,115000000,USD,116599148,USD
XR2,Russia and Commonwealth of Independent States,tt2381991,The Huntsman: Winter's War,2016,115000000,USD,3741002,USD
XWW,World-wide,tt1390411,In the Heart of the Sea,2015,100000000,USD,93920758,USD
XNDOM,International,tt1390411,In the Heart of the Sea,2015,100000000,USD,68900000,USD
XR2,Russia and Commonwealth of Independent States,tt1390411,In the Heart of the Sea,2015,100000000,USD,4220368,USD
XWW,World-wide,tt1524930,Vacation,2015,31000000,USD,107228221,USD
XNDOM,International,tt1524930,Vacation,2015,31000000,USD,48344033,USD
XR2,Russia and Commonwealth of Independent States,tt1524930,Vacation,2015,31000000,USD,5003576,USD
XWW,World-wide,tt2717822,Blackhat,2015,70000000,USD,19652057,USD
XNDOM,International,tt2717822,Blackhat,2015,70000000,USD,11646077,USD
XR2,Russia and Commonwealth of Independent States,tt2717822,Blackhat,2015,70000000,USD,836826,USD
XWW,World-wide,tt1981115,Thor: The Dark World,2013,170000000,USD,644783140,USD
XNDOM,International,tt1981115,Thor: The Dark World,2013,170000000,USD,438421000,USD
XR2,Russia and Commonwealth of Independent States,tt1981115,Thor: The Dark World,2013,170000000,USD,35732140,USD
XKN,East Africa,tt1981115,Thor: The Dark World,2013,170000000,USD,204454,USD
XWW,World-wide,tt1979320,Rush,2013,38000000,USD,96983009,USD
XNDOM,International,tt1979320,Rush,2013,38000000,USD,70035385,USD
