actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World-wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0001570,Edward Norton,actor,tt0307901,25th Hour,2002,2003-01-10,movie,USD,5000000,5000000,USD,23932055,10847460,13084595,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0289765,Red Dragon,2002,2002-10-04,movie,USD,78000000,78000000,USD,209196298,116046400,93149898,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0120679,Frida,2002,2002-11-22,movie,USD,12000000,12000000,USD,56298474,30413474,25885000,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0266452,Death to Smoochy,2002,2002-03-29,movie,USD,50000000,50000000,USD,8382938,18247,8364691,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0227445,The Score,2001,2001-07-13,movie,USD,68000000,68000000,USD,114252154,43144443,71107711,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0171433,Keeping the Faith,2000,2000-04-14,movie,USD,29000000,29000000,USD,59945183,22897303,37047880,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0137523,Fight Club,1999,1999-10-15,movie,USD,63000000,63000000,USD,101209702,64179600,37030102,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0128442,Rounders,1998,1998-09-11,movie,USD,12000000,12000000,USD,22912409,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0120586,American History X,1998,1998-11-20,movie,USD,20000000,20000000,USD,23875127,17155263,6719864,0,Oscar,Best Actor in a Leading Role,"Academy Awards, USA",Nominated,1999
nm0001570,Edward Norton,actor,tt0117318,The People vs. Larry Flynt,1996,1997-01-10,movie,USD,36000000,36000000,USD,20300385,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0116242,Everyone Says I Love You,1996,1997-01-17,movie,USD,20000000,20000000,USD,9759200,NA,NA,0,NA,NA,NA,NA,NA
